session_frequency,session_duration,messages_sent,days_since_last,start_emotion,end_emotion,churn
2,7.5878930669425095,4,14.0,2,2,1
2,5.40738555555456,4,2.7934523546921413,1,1,1
1,5.4817495787342985,4,7.079853784024543,1,1,1
0,5.505953852725462,3,6.494395493344253,3,3,1
3,9.68007324620335,3,4.233460664446331,2,2,1
1,7.797099000682434,4,5.870762351350266,1,1,1
4,5.113363395229302,3,2.0,3,3,1
0,3.522369963751435,4,2.913196285904177,3,3,1
2,8.392209271015833,2,7.7056425670402815,0,4,1
0,7.677097852627248,6,3.2143729120540194,2,2,1
1,7.412741394501198,3,10.337746052097089,1,1,1
0,5.832511129236197,3,8.967942000456041,2,2,1
2,5.4007651021784815,1,9.955176795739455,1,1,1
0,9.370447022959478,2,2.0,1,1,1
1,9.556538478608953,4,2.0,2,2,1
1,7.280249751283243,3,2.0,2,2,1
3,7.939681729679817,6,14.0,1,1,1
0,6.472196328341421,4,2.0,1,1,1
1,3.2600284550661938,3,2.2871615777435372,4,4,1
0,4.040514487980707,1,2.0,1,1,1
3,8.292363806098878,5,2.0,2,2,1
2,8.54741069562238,4,2.0,1,1,1
1,8.108254016619238,3,2.0,2,2,1
1,6.6921046201740655,3,2.506712706524212,1,1,1
0,8.182597912590534,3,14.0,1,1,1
1,5.8837254110015405,4,5.9909871044252725,2,2,1
4,7.242780673076601,5,6.136220629696384,1,1,1
4,5.590635263759765,6,3.018140806843795,2,2,1
2,3.8864287337002357,6,8.338090405748034,1,1,1
0,7.729143944994537,3,11.945301264372052,1,1,1
3,8.550248809322287,2,14.0,3,3,1
0,10.947917560833432,1,2.0,0,4,1
2,6.5280580027919894,6,10.58650666622917,1,1,1
3,3.9043803632435394,5,2.0,1,1,1
1,5.343118525342372,3,2.531404018876922,0,1,1
0,5.72821722894964,6,2.1192442520366104,1,1,1
4,6.296995613255823,4,5.621651500335442,1,1,1
2,6.941752513476866,3,4.555577485586902,1,1,1
3,6.725938584793336,6,2.0,3,3,1
1,7.554164516930512,1,7.635204419009901,1,1,1
1,6.394846095385163,3,2.8959274228886214,3,3,1
1,1.5494081944464488,3,2.0,3,3,1
0,6.454267657386897,5,2.676473377842621,1,1,1
1,6.173461522614376,2,3.6317784044683155,0,1,1
0,7.100533727641866,6,2.0,0,1,1
1,5.277035588844954,7,2.0,2,2,1
0,6.447051448952777,4,14.0,2,2,1
2,7.112484375057766,3,10.247293836829384,2,2,1
1,5.679915596538626,4,2.0,2,2,1
0,7.351741204460562,2,4.341187525599388,1,1,1
1,6.140249864929689,6,2.3840802838716884,3,3,1
3,6.313317664630201,1,3.9234667613941108,1,1,1
1,1.0,3,3.1794429090520193,4,4,1
0,3.7122254303489517,3,2.0,1,1,1
1,3.7176683686807017,4,2.0,1,1,1
0,6.432664435799338,5,2.0,3,3,1
3,8.543330466592998,2,3.3566162451337678,2,2,1
0,5.763169790567743,9,11.89283594616098,3,3,1
0,7.696596358609736,6,14.0,2,2,1
0,7.296505312651738,8,14.0,3,3,1
2,6.279786846940636,2,14.0,4,4,1
0,7.147953401663355,10,2.0,2,2,1
3,6.491887437663676,9,6.536435933788724,1,1,1
1,5.715439006414445,4,2.0,2,2,1
1,6.782160699333069,5,10.035343133620675,4,4,1
0,8.89326281960346,5,8.40288392353053,2,2,1
0,6.9454979469513916,10,2.755414026988266,4,4,1
0,6.435942240077319,4,3.205247462398825,1,1,1
0,4.245098837661038,2,2.0,4,4,1
2,8.831750298529219,6,2.0,1,1,1
0,3.185902938002109,4,14.0,1,1,1
1,2.5878738388037976,3,10.984503139225465,2,2,1
0,6.742921376635019,2,2.0,2,2,1
1,4.238479617770558,2,2.0,1,1,1
2,8.178198005694888,1,2.0,4,4,1
1,2.632588749268033,3,14.0,4,4,1
2,7.923612945021239,2,11.887073963912817,3,3,1
0,7.641963869475801,2,4.015903957220401,1,1,1
0,6.236031928215812,7,5.902796981944976,1,1,1
1,1.800856714839382,5,6.890578282274113,2,2,1
3,2.553393759361461,5,2.0,3,3,1
1,6.4798705554498515,6,13.641239337914017,1,1,1
2,5.534415999229106,2,3.7405804637736857,2,2,1
2,7.454660569806007,7,2.0,2,2,1
0,5.863567416537526,3,2.52987543194313,3,3,1
0,5.689638735495332,1,4.60207808986508,2,2,1
0,1.147364853082533,9,2.1756787370964856,2,2,1
0,7.644864623545235,4,6.006622034672214,1,1,1
1,4.701707630482185,4,10.68747153511901,1,1,1
1,5.2035881525615535,4,7.38968311623823,4,4,1
0,3.860441913781699,2,5.145310144116828,1,1,1
1,2.9191778720993047,2,3.5888131651057487,4,4,1
0,8.944275656330237,4,2.0,0,1,1
3,7.590975389909776,10,3.034353546880374,2,2,1
1,7.623991150708264,5,2.0,1,1,1
0,5.566978763801265,1,13.592274293277281,4,4,1
3,2.52415510806841,4,11.892535847484169,4,4,1
1,10.204089511675612,3,2.0,1,1,1
2,6.8445832625267915,7,8.647311010211373,1,1,1
2,6.273578400153991,4,6.068679825537535,3,3,1
0,5.281733955405844,3,14.0,3,3,1
3,1.9108874941247702,3,3.111641193708667,2,2,1
2,8.283117464553445,3,6.4038079869469735,3,3,1
1,3.884592986195489,2,3.647851821585771,1,1,1
2,7.093138325724512,1,2.0,2,2,1
2,7.541667922247128,4,2.0,3,3,1
0,6.66831524374631,4,2.0,1,1,1
1,6.939947080663769,5,2.0,3,3,1
3,8.692239503796593,2,2.0,4,4,1
1,4.415169176334056,5,6.515774611696889,3,3,1
1,6.3290051800870115,1,6.292545088446063,1,1,1
2,5.549789190640328,3,14.0,1,1,1
0,2.320869904355794,3,2.0,2,2,1
2,6.5726666597340175,5,13.93969641005789,1,1,1
0,8.502501193049373,3,4.744723114731338,4,4,1
1,8.752668317354388,4,3.419041727617842,1,1,1
2,9.71495441859146,5,5.51071323247011,3,3,1
0,2.452561750821514,5,6.066000418243424,1,1,1
2,9.257255395762483,5,2.0,2,2,1
4,6.36967952872076,4,6.965900135708748,0,1,1
0,9.201125014739919,3,6.458063065814353,1,1,1
2,5.210435181609147,5,14.0,2,2,1
1,4.93839904241023,6,12.149126195239043,2,2,1
1,3.5694548475462127,8,5.770522959428677,3,3,1
1,7.551955132812321,5,6.230292448319577,0,4,1
0,7.028952141063498,2,14.0,1,1,1
0,3.765980875539349,1,14.0,3,3,1
2,1.6717264659739994,3,8.771312662749358,3,3,1
2,6.830490468646787,3,7.292036449791243,1,1,1
1,7.058340733889465,9,2.0,1,1,1
1,4.026096976548468,2,8.869269420914849,1,1,1
1,3.6243431732580755,5,2.0,1,1,1
3,7.311736358292496,5,4.148092120363411,0,1,1
2,9.712787396649771,3,2.599100350963179,2,2,1
2,5.010019602183869,1,2.1202382499316688,4,4,1
3,4.240722134554128,4,2.0,1,1,1
0,6.597716927501159,3,9.669856332927623,3,3,1
3,7.270506129696142,10,7.329635045620223,2,2,1
0,5.271419808215178,3,3.705900058183829,4,4,1
0,10.050182166983905,4,5.460375918835356,3,3,1
1,7.803370244283358,2,14.0,3,3,1
1,5.237458587936667,2,2.5336296598084873,2,2,1
4,2.8150340554435895,5,4.0047824159153835,3,3,1
2,8.638843575629744,4,3.812740454000708,1,1,1
4,8.383862472430145,3,13.742203252486602,1,1,1
2,5.394494260076468,4,2.165947645325376,4,4,1
0,6.701150915225089,4,14.0,3,3,1
3,5.699060205034982,5,2.0,1,1,1
1,7.041197762217935,2,2.0,3,3,1
4,3.950100937736636,7,2.0,1,1,1
0,3.664961759846308,8,2.777557850171241,1,1,1
0,7.6217274655210465,4,5.24562540649511,2,2,1
4,7.875229687019195,5,3.63688413740996,2,2,1
2,5.018415948756788,1,2.3602540290078706,2,2,1
1,4.501757848077951,7,4.1280616029609885,1,1,1
2,8.295132904289396,3,9.125741923110557,4,4,1
2,4.569474961369642,6,9.129613029868285,4,4,1
0,6.1108225119715325,2,6.477296136749553,0,1,1
2,5.857170043254693,5,14.0,1,1,1
2,3.0661881092961614,2,4.460487163964022,0,1,1
2,6.384228534157337,4,2.0,3,3,1
0,6.1888139068083206,6,2.0,3,3,1
0,6.720382556203212,6,2.0,2,2,1
3,6.316461739306572,6,3.9629161506939896,3,3,1
0,10.271374818826745,6,11.763578022982326,3,3,1
0,8.32335646264646,6,9.104344235860758,2,2,1
1,6.077618000909603,3,2.0,1,1,1
1,6.260478167699078,4,3.6634981974921947,1,1,1
2,9.52723841550158,4,5.381543888728576,1,1,1
2,7.726175572010494,4,14.0,2,2,1
2,3.541994279011107,2,2.0,1,1,1
2,7.897896445614193,4,3.1169612873967183,1,1,1
2,8.485602164119886,4,14.0,0,1,1
1,9.23543415155157,5,14.0,2,2,1
0,5.1970166367850235,6,2.0078125477913833,4,4,1
0,5.051099009062065,5,2.0,3,3,1
0,4.116369957105339,4,4.418326204929917,3,3,1
0,6.616254928672268,7,10.084732439735081,3,3,1
0,7.465735164911399,8,2.0,2,2,1
0,4.9733416266449915,4,13.610996508482259,1,1,1
1,5.716369404661678,8,2.0225960563827625,1,1,1
2,1.8925644087618716,6,4.710624390980069,1,1,1
1,9.0188981008053,9,6.401499549477845,2,2,1
0,2.870047256999806,8,2.118774999219266,1,1,1
0,6.7495595043856085,1,2.1709158522018006,3,3,1
0,6.476509666744695,3,3.174342585849592,1,1,1
0,6.091615937063193,7,9.015824162206528,1,1,1
0,6.1375937566793795,5,2.0,4,4,1
0,3.976437648554332,1,4.991293134937139,1,1,1
0,5.343869591611011,8,5.655903584297034,2,2,1
1,7.93790130450434,2,4.080787825021349,1,1,1
1,8.530311000873272,6,13.731750906599478,1,1,1
1,5.15819812285012,1,4.6063997484232395,2,2,1
2,2.879160939046173,2,5.033495055549987,2,2,1
2,4.442652297405907,9,4.578454907737216,1,1,1
0,9.705394189705764,4,6.40100851642485,3,3,1
2,4.561711020025548,1,2.0,3,3,1
0,5.805592659480441,3,11.234632071288477,1,1,1
1,8.83182472403965,3,2.0,1,1,1
1,4.9462079893257815,2,5.11859970755072,3,3,1
2,5.668929220704647,2,4.778809500583873,3,3,1
0,7.588996581512621,5,2.0,1,1,1
3,9.42361373505901,7,2.0,1,1,1
0,4.708896270610043,6,2.0,1,1,1
1,8.784190488242366,4,2.0,1,1,1
0,5.436942580271357,7,10.689833692918338,1,1,1
0,4.228142589070123,9,9.680496314174597,4,4,1
1,6.4991128606151145,3,2.0,3,3,1
1,3.684863884462806,4,2.0,3,3,1
1,6.944022862925762,2,11.005390910921008,1,1,1
3,12.0,2,2.0,0,4,1
1,8.211201630507388,9,14.0,1,1,1
2,5.790200724419755,6,2.0,2,2,1
1,8.104403815348867,10,6.718344497206194,1,1,1
0,4.13695654276547,4,2.6983479809507482,1,1,1
1,4.47265072799566,5,2.0,0,4,1
1,5.845670449577471,3,2.0,3,3,1
2,6.1755623996996745,3,5.621467361348945,2,2,1
0,3.413394361580466,3,2.0553268167994223,1,1,1
0,5.387045015779138,4,4.63332454776954,3,3,1
0,5.710822566027891,3,2.0,3,3,1
0,9.083944695677268,1,2.9763013639779907,1,1,1
0,3.4133089673303383,5,3.589718240628602,1,1,1
0,3.227902918828854,4,2.6618175669686375,3,3,1
0,6.351417885209133,6,2.0,1,1,1
1,8.301753205454784,5,3.0953359153358306,3,3,1
1,7.103186028081031,5,5.902918384012555,0,4,1
1,6.6053537868459475,7,14.0,2,2,1
3,5.422783939996938,4,7.791861706218846,1,1,1
0,7.352209858589664,4,2.0,2,2,1
0,7.653778439633417,5,2.0,4,4,1
3,5.485378267630647,3,2.0,2,2,1
0,4.102750979627141,3,2.0,1,1,1
1,4.115755809294381,4,2.0,1,1,1
1,7.757468556095331,6,2.0,3,3,1
1,2.9114533578048896,6,2.0,3,3,1
0,9.354118350594225,3,2.0,1,1,1
1,5.087748613010794,1,2.0,4,4,1
1,6.619063860608477,5,2.0,2,2,1
1,7.4034201159541855,5,2.0,1,1,1
0,4.632628569941829,5,5.830364611617771,2,2,1
1,5.080204314689509,3,2.0,2,2,1
0,6.26394000389115,1,2.0,3,3,1
2,4.292558361568785,4,2.0,1,1,1
0,3.864716473334849,4,3.4654507729001702,3,3,1
3,4.0444355106405085,1,9.225254673328966,3,3,1
1,8.418292572180423,5,2.0,2,2,1
3,6.795849693430666,3,3.907990991091623,1,1,1
2,4.4136658822473045,1,5.25796009808989,4,4,1
0,7.745518912468195,1,4.488101284667574,2,2,1
3,4.524489506334236,2,10.50325249245656,4,4,1
1,2.0991755966851864,4,10.064359680777828,1,1,1
0,7.3936179823207056,3,2.0,4,4,1
0,9.292461903619813,1,2.2388157167638196,3,3,1
2,7.116079343038033,6,5.555902147028879,4,4,1
2,2.225326097129831,2,14.0,1,1,1
2,5.952889199558491,4,8.165702984934226,2,2,1
1,5.450844000494075,2,2.0,1,1,1
2,6.756424325287785,3,2.0,1,1,1
2,4.305461446262411,6,7.211020180943438,1,1,1
2,5.333045499812922,5,3.188324410660069,4,4,1
2,3.159834033954577,1,3.962655094522864,2,2,1
0,6.443541564882771,2,4.694980547623723,1,1,1
2,3.2342081614549243,3,2.0,4,4,1
2,6.874848971445869,4,9.688391787219734,3,3,1
1,4.498905621993903,7,9.943780721362002,4,4,1
1,1.0,4,3.157809869531418,4,4,1
3,7.587516286198266,2,4.928809908033989,3,3,1
1,6.9880800384248,3,5.392638506007032,1,1,1
1,8.705884095541398,5,2.0,4,4,1
2,1.8197629856601898,2,2.0,1,1,1
0,4.690900920327234,6,2.0,2,2,1
3,6.263185921123732,3,12.20244884549434,3,3,1
1,7.143411786072633,2,2.1210481374170094,1,1,1
1,3.074232124521136,7,2.0,2,2,1
2,6.862919915454431,4,3.1349246902769083,1,1,1
2,4.856446182781225,2,2.0,1,1,1
1,2.2898426730265204,7,2.0,0,1,1
1,4.498638025896689,5,3.3558067077398253,3,3,1
4,7.0287542732277135,3,3.5548926895399453,1,1,1
1,2.373403855267399,2,4.339206525506425,3,3,1
2,7.274103679217517,4,5.340097484656029,2,2,1
3,6.5667560048035245,2,5.517129831921893,2,2,1
0,5.492281845709858,3,2.8369506660531707,3,3,1
2,2.729604980031502,3,5.157568871238423,2,2,1
3,2.8901023531317014,2,2.0,1,1,1
1,5.203036709735291,10,2.910786418609729,1,1,1
1,3.7501199562300314,7,2.498827140354452,2,2,1
0,5.3324827890187265,3,2.0,2,2,1
1,7.812364314696598,2,2.0,1,1,1
2,5.453957565168144,6,2.0,2,2,1
1,5.39911012453767,4,3.525192795775542,2,2,1
1,5.400694448670374,4,3.853254255487572,3,3,1
1,8.02680386193008,5,2.0485332846240425,2,2,1
0,8.586739774971342,4,14.0,4,4,1
1,6.843867424347021,5,4.070489756926529,2,2,1
2,6.273183034796785,3,10.991599235812162,3,3,1
1,6.4591252297119235,6,4.22084242106797,2,2,1
1,8.855903804506173,5,2.0,2,2,1
1,6.952505520174442,2,14.0,1,1,1
1,9.04487781951309,2,10.828702681964732,2,2,1
2,5.161830296025848,5,3.18642165769805,4,4,1
0,3.3288619605971097,5,2.0,1,1,1
1,4.661881032068564,5,2.0,1,1,1
1,4.874406138495937,8,8.200012100670529,3,3,1
0,9.209055855472588,9,2.0,2,2,1
0,7.472827489072027,7,5.081389402769442,1,1,1
1,4.725086951364774,5,5.110130526993112,2,2,1
0,7.616822353865395,4,2.0,2,2,1
2,5.7408377778160355,6,6.10241455300538,2,2,1
1,9.26910338415393,2,6.110790617174919,3,3,1
1,5.332597510621909,2,2.1541520279571107,1,1,1
0,2.9222214858428233,6,3.3021988642164626,2,2,1
3,5.626497866998633,7,8.941733032843672,3,3,1
1,5.333691335845407,5,3.7028008387714104,3,3,1
0,3.313546704103363,1,4.8137300704438095,1,1,1
0,7.171823514556614,6,2.6616905893914473,1,1,1
2,8.849437660634095,4,2.0,2,2,1
0,3.755031352554268,3,14.0,3,3,1
0,7.945420785844348,1,3.7914856592620256,3,3,1
1,4.786738345355724,7,2.05072868656512,2,2,1
0,5.9505628867534535,2,6.255100645493059,4,4,1
1,5.740455551203082,7,4.848744558911493,2,2,1
1,5.950578269862151,8,2.0,3,3,1
0,6.946165343990114,6,10.474827055073137,3,3,1
0,3.951634719104531,3,2.0,4,4,1
3,8.586600218212457,2,4.653194022597503,4,4,1
1,7.007085513433526,5,3.249370480274731,2,2,1
0,7.671165552679454,6,2.0,1,1,1
1,4.4398680941497695,1,8.754435073799591,2,2,1
0,3.770452277925506,4,5.339596973359883,3,3,1
0,8.365426863748807,5,7.12516548726688,3,3,1
0,3.6845015082724015,5,2.677801279617812,1,1,1
0,6.298610482450883,4,14.0,0,1,1
1,8.03799166337588,4,2.113489385403825,2,2,1
2,5.746396061790281,2,3.7862415143785357,2,2,1
0,8.340154126059263,1,13.564066016916597,1,1,1
1,5.456883392412331,3,2.0,3,3,1
0,3.4451640024379366,6,2.0,1,1,1
1,6.748345082217635,2,14.0,2,2,1
1,6.396592067428907,2,14.0,1,1,1
0,11.375952487614821,1,7.385508796806704,3,3,1
2,4.10978226777396,3,3.310067280954832,3,3,1
4,5.496305789341298,5,3.5267147237916987,1,1,1
0,4.538268759632558,6,2.0,2,2,1
0,5.715030836856408,5,2.8346086232597663,1,1,1
2,5.634395135187265,4,2.8224452714926356,4,4,1
0,4.255400355878983,10,2.0,3,3,1
3,6.936475219393776,1,3.0179787348777856,3,3,1
0,5.571712255821072,5,3.2676558865422507,1,1,1
0,8.690965935767839,7,5.479826588392177,0,1,1
1,4.702885753422698,2,3.6330329091754865,2,2,1
1,9.722746142636444,4,9.891033188841112,1,1,1
2,6.551748012750298,3,2.290864052879775,3,3,1
0,8.542666879170199,7,2.6357709881474007,2,2,1
0,6.230906931245736,5,4.237118667531997,1,1,1
0,4.438691200288052,3,2.0,1,1,1
3,5.4729581596817365,2,2.500236970510696,4,4,1
1,3.2264635783246285,4,5.7944789244411465,4,4,1
2,5.776932767612985,6,2.653515553156225,1,1,1
1,6.34418575226366,2,11.855203580371587,1,1,1
0,6.09144559137089,4,4.776464116860219,1,1,1
1,8.660314450273727,7,2.0,1,1,1
1,5.701732337874184,2,3.3417298545942975,4,4,1
1,2.212012814315567,5,7.236143498378045,3,3,1
1,12.0,8,5.1549340725059976,4,4,1
0,4.618782917033354,1,10.82558863059921,3,3,1
1,7.937490217582491,4,6.93112974775241,3,3,1
3,2.991506657910358,6,2.0,2,2,1
0,6.490424346936709,4,2.0,3,3,1
0,4.410908383857267,4,5.245521893143668,2,2,1
1,1.0,2,2.0,1,1,1
1,5.434380009914907,4,4.431656440753523,2,2,1
1,5.8998692835390045,5,7.856319313391623,2,2,1
0,5.562228152687666,3,4.301106910301519,4,4,1
0,6.4862266965674324,6,2.6848947154830514,2,2,1
2,5.460983826548298,2,5.196111241230707,0,1,1
1,6.138299632273093,4,2.0,1,1,1
3,6.340224003308593,6,6.422444705722755,4,4,1
1,5.929643822459131,3,5.9705268022291245,4,4,1
0,5.6584483355958435,5,3.6118848436713495,3,3,1
1,4.212692979408786,5,2.0,1,1,1
2,7.188891208008228,1,7.986652188797895,0,1,1
3,5.434005305400278,5,3.5723679340148324,2,2,1
3,5.272348548904201,6,2.0,4,4,1
1,7.024588621008518,2,12.542671086901585,3,3,1
2,6.423916054003127,3,7.298981985706111,4,4,1
2,4.603559357556842,1,4.395036726434957,2,2,1
2,8.501317285876542,2,2.8708289142016694,3,3,1
1,3.6215520301752404,5,14.0,1,1,1
4,3.9370509121785116,3,7.45873161069139,0,1,1
1,7.336707935686917,3,3.828514822226765,4,4,1
0,9.502271194828886,5,5.294370496911091,1,1,1
1,4.845195615541122,5,2.0,3,3,1
0,6.825642745466292,8,2.0,2,2,1
0,3.6152728834632883,3,2.0,1,1,1
1,4.142029367821389,4,2.0,1,1,1
1,8.264396383441364,5,6.730340972612464,1,1,1
1,6.7315260615142725,5,2.0,3,3,1
1,8.326459510281556,6,7.5161008601398605,0,1,1
3,8.172617508872705,2,3.7053394044059322,2,2,1
0,1.8209006137652528,1,2.427195563770554,2,2,1
1,3.608091319888824,3,2.0,1,1,1
4,6.5489516031556185,4,3.599515798743276,1,1,1
2,2.605820038118879,4,2.0,1,1,1
4,3.891389914791842,4,2.805789816137037,1,1,1
2,8.853934808820819,4,6.716467272669072,2,2,1
0,4.91686824677823,5,4.917477439337132,4,4,1
1,7.420597157242069,6,6.891281296429003,0,1,1
0,5.943663459695323,5,6.24090696853475,4,4,1
0,4.640127491410766,7,8.438956932494678,2,2,1
0,2.6715814545989343,3,2.0,2,2,1
0,6.466604213128755,6,14.0,3,3,1
2,8.909211078137727,1,3.229128089113835,2,2,1
1,4.69694504046849,1,6.333372854755953,1,1,1
2,6.13719670845772,3,5.662140714927667,1,1,1
3,2.9604223932960156,3,4.175283108900891,3,3,1
1,4.655649617499906,9,14.0,1,1,1
1,6.681763318923121,4,2.0,2,2,1
3,7.487431640799625,3,2.738562162722392,2,2,1
0,7.111897499916374,3,2.0,1,1,1
0,1.9368973785055266,8,2.0,3,3,1
0,5.086130321730514,2,6.240739285214509,3,3,1
0,4.065437779410753,2,2.0,2,2,1
1,5.381943448365913,5,11.028228994116763,1,1,1
0,5.77761712902531,1,5.014481182596251,1,1,1
4,8.132703782390475,1,2.9071798500541663,2,2,1
1,6.5904740733870515,6,2.012555681263119,3,3,1
1,8.835663945774169,4,2.0,2,2,1
1,4.60097937114564,5,12.727271259287214,4,4,1
0,3.1658468841563554,4,6.229573048753307,0,4,1
2,8.910485281640929,7,2.050325852899552,4,4,1
0,6.866910475801263,4,2.0,2,2,1
1,4.513456465282207,6,2.0,3,3,1
0,6.875645757020574,6,2.0,1,1,1
4,7.670519134398862,6,7.715286224309668,2,2,1
0,6.238381626015184,3,6.357667166174208,3,3,1
1,4.541927143946924,6,3.4473759262005634,3,3,1
0,5.117474390288649,3,10.850819842677542,1,1,1
2,6.581242995699603,2,2.0,1,1,1
0,6.397775910711374,6,3.0070859685106797,2,2,1
1,8.424520115570827,5,6.200078130357855,4,4,1
2,5.4481795751959385,3,2.0,2,2,1
2,4.072478803248966,3,2.331471473862533,1,1,1
2,11.154108659140064,4,4.2392460872416535,3,3,1
4,6.348976398975473,3,2.284872698234834,2,2,1
3,7.6685255157790735,1,3.2715460616126113,1,1,1
1,7.04369674405176,2,4.683976982134327,1,1,1
2,6.373148877121778,6,2.2974206816204346,3,3,1
1,5.544512538513665,4,2.0,1,1,1
1,1.0,1,2.0,1,1,1
0,3.8735575184043585,2,3.7433414140879546,2,2,1
3,6.658238426834589,3,2.0,1,1,1
0,1.0,3,11.02881991899757,1,1,1
3,6.1432367854205605,4,8.984433508960532,2,2,1
2,7.322461021728647,5,2.146474495664454,3,3,1
0,7.6665572342068655,6,8.888903307921424,1,1,1
3,7.196310494929412,8,3.809141542588677,1,1,1
2,7.9167839032342275,4,2.0,2,2,1
2,9.211222766483754,5,4.7623345307518115,1,1,1
0,8.192235870818369,6,5.688602469329184,2,2,1
1,6.39366279780386,2,2.0,4,4,1
1,5.730760290454495,7,2.0,2,2,1
1,6.2292757491053825,5,2.0,1,1,1
4,5.449003696650562,3,2.0,1,1,1
1,8.23516146449125,10,2.043190681102807,1,1,1
0,7.144200416601975,2,4.974081442651109,1,1,1
1,5.237847091106547,7,2.0,1,1,1
2,8.64817556722419,3,2.0,1,1,1
0,5.416242291930778,2,2.0,3,3,1
2,4.108456707853445,2,8.732579254805511,3,3,1
0,5.978514906698409,4,2.5470099011195177,2,2,1
2,4.351733032656556,7,2.6815186745635486,1,1,1
0,7.872411475074507,1,3.1652258325991585,3,3,1
